Classificação;Segmento;Faixas de experiência;Dia da Semana;Dia;Mês;Ano;Hora;Descrição;Estado;Dias Perdidos;Dias Debitados;Reabilitado;Dias Perdidos Corrigidos;Agente Causador;Gravidade;Potencial;Grau de Risco;Compromissos (Regra de Ouro);Evento_Crítico_Target
Quase Acidente;Logistica;Até 6 meses;Terça - feira;28;10;2025;08:00 - 09:00; Durante a atividade de plastificação de etiquetas, o colaborador terceiro ao manusear papel, sofreu um corte no dedo médio esquerdo  durante o uso da guilhotina da plastificadora.;BA;;;;;Outros;;15;Baixo;Outros;Não
Típico com afastamento;Expansão;6 meses a 1 ano;Sábado;23;1;2021;09:00 - 10:00;Durante realocação de uma bromélia foi atacado por uma serpente;SP;281;0;Não;281;Animal;Alto;5;Alto;11 - Não se Aplica;Sim
Típico com afastamento;Adm;;Quarta - feira;30;11;2022;16:00 - 17:00;Queda de veículo ao descarregar material, sofrendo corte por cerâmica quebrada.;BA;14;0;Não;;Queda com diferença de nível;Médio;4;Alto;8 - Veículos e Equipamentos Móveis;Sim
Típico com afastamento;Transmissão;;Segunda - feira;30;5;2022;10:00 - 11:00;Luxação no dedo ao descarregar materiais.;BA;8;0;Não;;Atingido entre ou abaixo (esmagado ou amputado);Baixo;14;Baixo;2 - Percepção de Risco;Não
Típico sem afastamento;Adm;6 meses a 1 ano;Terça- feira;13;6;2023;17:00 - 18:00;Ao fazer o salto, tentou se equilibrar fezendo um movimento com os menbros superiores elevando acima dos ombros, ocasionando dores fortes, necessitando de atendimento médico, segundo o mesmo, nos relatou que atingiu uma lesão que já havia sofrido anos atrás.;RS;0;0;Não;0;Queda mesmo nível;Médio;11;Médio;11 - Não se Aplica;Não
Típico com afastamento;Adm;Até 6 meses;Quinta - feira;26;1;2023;11:00 - 12:00;Fratura na perna devido a queda de objeto no almoxarifado de Paulo Afonso.;BA;26;0;Não;;Golpeado por (atingido por objeto em movimento);Médio;11;Médio;6 - Linha de Perigo;Não
Quase Acidente;Transmissão;6 meses a 1 ano;Sábado;15;7;2023;16:00 - 17:00;Empregado sofreu uma queimadura superficial no braço, ao encostar em um trator que teve a sua parte frontal queimada por um curto circuito na parte elétrica. Não procurou atendimento médico e não nos foi reportado afastamento.;CE;;;;;Queimadura;Baixo;11;Médio;2 - Percepção de Risco;Não
Típico com afastamento;Adm;Até 6 meses;Terça- feira;30;5;2023;15:00 - 16:00; Colaborador João Victor Braga Severo ao deslocar-se torceu o pé direito na base CN02-03, onde estava auxiliando na concretagem, ao torcer o pé relata ter caido nas ferragens batendo a perna, local edemaciado, colocado gelo no local, após encaminhamento para atendimento médico.;RS;2;0;Não;0;Golpeado por (atingido por objeto em movimento);Médio;13;Médio;2 - Percepção de Risco;Não
Típico sem afastamento;Geração - Eólica;Até 6 meses;Segunda - feira;4;9;2023;16:00 - 17:00;Na realização da descarga manual de peças de concreto (bloquetes), o profissional teve seu dedo prensado entre a peça e o chão causando uma leve lesão no dedo;RS;0;-;Não;-;Transporte manual de carga;Baixo;13;Médio;2 - Percepção de Risco;Não
Típico sem afastamento;Expansão;Até 6 meses;Segunda - feira;18;9;2023;08:00 - 09:00;Durante sua jornada de trabalho, a profissional ao sair da sala, se desequilibrou no degrau da porta (entrada/saida) e, na tentativa de se reequilibrar, pisou em falso no tapete de madeira antiderrapante torcendo o pé direito.;RS;0;-;;-;Escorregou/Desequilibrou;Baixo;11;Médio;2 - Percepção de Risco;Não
Trajeto com afastamento;CSC;6 meses a 1 ano;Quinta - feira;22;8;2024;07:00 - 08:00;O Colaborador ao deslocar-se de bicicleta em seu caminho habitual de sua casa para seu trabalho, perdeu o controle do veículo ocasionando queda e tendo como consequências escoriações e aranhões no corpo.;PA;3;0;Não;;Queda com diferença de nível;Baixo;15;Baixo;8 - Veículos e Equipamentos Móveis;Não
Quase Acidente;Expansão;6 meses a 1 ano;Segunda - feira;14;10;2024;05:00 - 06:00;"Ao se deslocar de Santana do Livramento para o canteiro de obras em Coxilha Negra, o condutor do caminhão da Empresa Sinal Engenharia acabou entrando em uma ""vala"" localizada no acostamento. Não ocorreram danos materiais ou pessoais";RS;-;-;Não;-;Carro - Colisão ;;10;Médio;8 - Veículos e Equipamentos Móveis;Não
Típico com afastamento;Expansão;Até 6 meses;Terça- feira;9;4;2024;10:00 - 11:00;Ao bater a alavanca para descompressão, durante o pneus, o cabo da marreta rompeu atingindo a parte inferior da perna esquerda, causando contusão.;RS;1;Não;Não;N/A;Golpeado por (atingido por objeto em movimento);Médio;11;Médio;2 - Percepção de Risco;Não
Quase Acidente;Transmissão;Até 6 meses;Quinta - feira;17;4;2025;15:00 - 16:00;Durante as atividades de supressão de vegetação, o contratado, ao se deslocar até o veículo de apoio, pisou em um pedaço de madeira que continha um prego, perfurando a bota EPI e seu pé esquerdo.;RN;;;;;Golpeado contra (correndo em direção, tropeçando em);;13;Médio;2 - Percepção de Risco;Não
Desvio Crítico;Expansão - Proj. Estrat.;Até 6 meses;Segunda-feira;29;8;2025;10:00 - 11:00;Durante atividade de implantação de ferragens nos tubulões foi identificado que o colaborador “sinaleiro” estava exposto ao risco de queda com diferença de nível sem as medidas de controle contra queda implementadas.;MG;-;-;Não;-;Outros;NA;7;Alto;Outros;Sim
