Classificação;Segmento;Faixas de experiência;Dia da Semana;Dia;Mês;Ano;Hora;Descrição;Estado;Dias Perdidos;Dias Debitados;Reabilitado;Dias Perdidos Corrigidos;Agente Causador;Gravidade;Potencial;Grau de Risco;Compromissos (Regra de Ouro);Evento_Crítico_Target
Típico sem afastamento;CSC;1 a 3 anos;Sexta-feira;2;8;2024;11:00 - 12:00;Motorista/Operador de caminhão guindaste hidráulico articulado estava tracionando as cintas de amarração de cargas (central de tratamento de óleo) quando o gancho soltou do local onde foi presa no caminhão e, devido ao tensionamento, foi arremessada contra o rosto do colaborador atingindo levemente o supercílio direito.;PA;;;Não;0;;Baixo;15;Baixo;8 - Veículos e Equipamentos Móveis;Não
Desvio Crítico;Transmissão;1 a 3 anos;Quinta - feira;14;11;2024;14:00 - 15:00;Foi observado empregado terceirizado acessando pátio da Subestação sem utilizar vestimenta retardante a chamas.;PA;;;;;;Baixo;10;Médio;2 - Percepção de Risco;Não
Típico sem afastamento;CSC;Até 6 meses;Segunda - feira;15;1;2024;15:00 - 16:00;Durante atividade de roçado do gramado da RMMS os empregados foram surpreendidos pelo ataque de um enxame de abelhas, essas estavam localizada em uma tampa de boeiro no meio do gramado esconndido pela vegetação.;MS;0;Não;Não;N/A;Animal;Baixo;11;Médio;2 - Percepção de Risco;Não
Quase Acidente;Transmissão;3 a 6 anos;Segunda - feira;15;7;2024;15:00 - 16:00;Substituição chave seccionadora 34M2-2 - Obra Siemens. Durante a execução da atividade de conexão de pulo, com uso de Plataforma Elevatória Móvel de Trabalho (PEMT), houve a quebra do conector, resultando na queda do pulo ao solo. Vale salientar que os equipamentos estavam desligados e toda a área do eventual raio de queda estava sinalizada, isolada e livre de pessoas e equipamentos, não havendo qualquer dano pessoal, além da ruptura do conector citado.;BA;;;;;Eletricidade;;15;Baixo;4 - Eletricidade;Não
Típico com afastamento;Transmissão;Até 6 meses;Quarta - feira;6;3;2024;07:00 - 08:00;O empregado terceirizado ao subir no trator que estava estacionado, para colocar água no radiador, pisou no cilindro de movimentação da lâmina para se apoiar, escorregou entre a lâmina e a esteira e o pé ficou preso machucando o joelho esquerdo.;CE;5;0;Não;0;Transporte manual de carga;Médio;11;Médio;8 - Veículos e Equipamentos Móveis;Não
Típico com afastamento;Expansão;6 meses a 1 ano;Sexta-feira;23;2;2024;09:00 - 10:00;Trabalhador estava recolhendo galhos provenientes de supressão vegetal, quando ao caminhar, se desequilibrou e torceu o tornozelo direito;RJ;1;0;Não;;Escorregou/Desequilibrou;Baixo;15;Baixo;2 - Percepção de Risco;Não
Típico com afastamento;CSC;Até 6 meses;Segunda - feira;5;2;2024;10:00 - 11:00;O trabalhador ao se deslocar de motocicleta até o Bairro Nova Marabá na busca de um equipamento portátil para realização de atividade na SE Marabá, sofreu uma batida na traseira da sua moto por uma Caminhonete e com impacto foi ao chão sofrendo algumas escoriações.;PA;4;0;Não;0;Moto - Colisão;Médio;11;Médio;8 - Veículos e Equipamentos Móveis;Não
Típico sem afastamento;Transmissão;1 a 3 anos;Segunda - feira;24;6;2024;11:00 - 12:00;Durante corte de prateleiras agachado sobre um mezanino metálico, o mesmo cedeu e o profissional caiu de uma altura de 2 metros. Nesse momento, uma chapa caiu sobre ele, ocasionando um corte na cabeça.;SP;N/A;N/A;;N/A;Golpeado por (atingido por objeto em movimento);Médio;5;Alto;3 - Trabalho em Altura;Sim
Típico sem afastamento;Geração - Hidráulica;1 a 3 anos;Segunda - feira;15;7;2024;19:00 - 20:00 ;Durante a atividade de Revisão de 25.000 horas na UG 18, ao passar entre o dispositivo de vedação das palhetas e o guarda corpo o colaborador prensou o terceiro dedo da mão esquerda;RO;N/A;N/A;;N/A;Ferramenta Manual;Baixo;11;Médio;2 - Percepção de Risco;Não
Típico com afastamento;Expansão;1 a 3 anos;Sexta-feira;12;7;2024;13:00 - 14:00;Equipe estava realizando a desmobilização da usina de concreto utilizando caminhão munck na movimentação das peças, quando o colaborador L.F.S.O., que estava auxiliando no posicionamento de um motor, manteve a mão no raio de movimentação da carga, sofrendo um prensamento dos dedos.;RS;30;-;Não;-;Golpeado por (atingido por objeto em movimento);Médio;10;Médio;6 - Linha de Perigo;Não
Típico com afastamento;Transmissão;Até 6 meses;Sexta-feira;28;6;2024;11:00 - 12:00;Funcionário terceirizado, durante os trabalhos de passagem de cabo entre a caixa de interface do sistema de videomonitoramento e a guarita, para instalação de um ramal VoIP, feriu-se ao empurrar a tampa de concreto para fechar a caixa de passagem. O empregado estava usando EPI (luva), o corte foi no dedo maior da mão esquerda, causando ferimento na unha.;BA;15;0;Não;0;Atingido entre ou abaixo (esmagado ou amputado);Médio;11;Médio;Outros;Não
Quase Acidente;Transmissão;6 meses a 1 ano;Quarta - feira;21;8;2024;09:00 - 10:00;Durante atividade de substituição de cadeia de isoladores “I” na LT 05S4 LGZ/OLD, na estrutura 133/4, com eletricista da contratada Real Energy, durante etapa de retirada de parte da cadeia de isoladores, ocorreu a queda dos oito primeiros discos de vidro. O material atingiu o solo longe da equipe de apoio.;BA;;;;;Eletricidade;;13;Médio;4 - Eletricidade;Não
Quase Acidente;Expansão;1 a 3 anos;Domingo;16;6;2024;11:00 - 12:00;Durante a  atividade de movimentação de carga (porta-buchas), com utilização de ponte rolante, ocorreu deslocamento da carga quando eram içados duas porta-buchas simultaneamente, vindo em direção ao colaborador que estava próximo da atividade sem resvalar no mesmo.;BA;N/A;-;Não;-;Outros;;11;Médio;6 - Linha de Perigo;Não
Típico sem afastamento;Expansão;Até 6 meses;Quarta - feira;1;5;2024;13:00 - 14:00;Executava uma ligação provisória com o uso de extensão para alimentar a chave seccionador 34H1-4, a fim de realizar os testes de pre-comissionamento, o funcionário sofreu uma descarga elétrica 220 volts;BA;0;-;Não;-;Eletricidade;Médio;7;Alto;4 - Eletricidade;Sim
Quase Acidente;Expansão;6 meses a 1 ano;Domingo;12;1;2025;13:00 - 14:00;Colaborador da empresa Bureau Veritas (BV) se envolveu em uma ocorrência de trânsito ao retornar do intervalo para o almoço, quando outro veículo cortou inesperadamente sua frente em um cruzamento, ocasionando a colisão.;SC;-;-;Não;-;Carro - Colisão ;;10;Médio;8 - Veículos e Equipamentos Móveis;Não
Quase acidente;Transmissão;Acima de 10 anos;Terça- feira;14;1;2025;10:00 - 11:00;Queda ao pisar sobre uma tampa de canaleta metálica;RJ;N/A;N/A;;N/A;;;14;Baixo;2 - Percepção de Risco;Não
Quase Acidente;Adm;Até 6 meses;Quinta - feira;23;1;2025;15:00 - 16:00;"O empregado terceirizado estava em deslocamento, após o almoço, na PE 177 sentido São João-PE para subestação de Angelim-PE, próximo ao povoado Serra do Boi (estrada das Castanhas), conduzindo a L200 Triton. GLX  placa RZT8J88, quando foi surpreendido por uma Van de cor branca e placa não identificada, que invadiu a contramão da via, e quase colidiu com o empregado, tendo atingido o retrovisor lado do motorista danificando-o. 
O motorista da Van evadiu-se do local da ocorrência.";PE;;;;;Carro - Colisão ;;5;Alto;8 - Veículos e Equipamentos Móveis;Sim
Quase Acidente;Transmissão;1 a 3 anos;Quinta - feira;30;1;2025;16:00 - 17:00;Queda da bolsa de ferramentas durante atividade em altura nos pórticos da subestação. ;SC;NA ;NA;Não;NA;;;11;Médio;2 - Percepção de Risco;Não
Desvio Crítico;Transmissão ;6 meses a 1 ano;Sábado;22;3;2025;15:00 - 16:00;Durante a atividade de manutenção de seccionadora, no pátio da subestação, empregado transgrediu distância de segurança ao deslocar com escada na posição vertical.;RS;NA ;NA;Não;NA;;;4;Alto;2 - Percepção de Risco;Sim
Típico sem afastamento;CSC;Até 6 meses;Quarta - feira;14;5;2025;16:00 - 17:00;Colaboradora foi mordida por uma cachorro dentro da Regional Gravataí.;RS;NA;NA;Não;NA;;Médio;10;Médio;2 - Percepção de risco;Não
Quase Acidente;CSC;3 a 6 anos;Quarta - feira;11;6;2025;07:00 - 08:00;Durante deslocamento com destino à Usina Hidrelétrica de Samuel, no trajeto enquanto o veículo da empresa estava parado na faixa central da via, aguardando a abertura do semáforo, foi surpreendido por uma colisão na traseira, lado esquerdo, causada por um motociclista de aplicativo.;RO;0;0;Não;0;;Médio;13;Médio;8 - Veículos e Equipamentos Móveis;Não
Trajeto sem afastamento;CSC;1 a 3 anos;Sexta-feira;13;6;2025;06:00 - 07:00;Queda de motocicleta no trajeto até a empresa.;SC;;NA;Não;NA;;Médio;10;Médio;8 - Veículos e Equipamentos Móveis;Não
Quase Acidente;CSC;6 meses a 1 ano;Sexta-feira;20;6;2025;13:00 - 14:00;Durante a verificação de uma possível invasão de terceiros em um terreno adjacente ao COS, o empregado da vigilância precisou subir em uma jardineira para melhor visualizar a área. Ao se posicionar sobre a mureta, acabou escorregando e sofreu uma queda de aproximadamente 1 metro de altura.;PE;;;;;Queda com diferença de nível;Médio;11;Médio;Outros;Não
Trajeto sem afastamento;CSC;3 a 6 anos;Sábado;5;7;2025;05:00 - 06:00;Durante o deslocamento para Usina próximo a entrada da Cidade de Sobradinho na BA 210, no km 434, o motorista terceirizado, ao conduzir o veículo do turno para troca de operadores, colidiu com animal na pista, “égua”, atingindo a parte frontal do veículo. Estavam no veículo uma operadora gestante, que foi encaminhada para avaliação médica no hospital e um operador que seguiu para a usina e foi avaliado pelo médico do trabalho da Eletrobrás Chesf. O motorista terceirizado não se feriu. ;BA;;;;;Carro - Colisão ;Médio;7;Alto;8 - Veículos e Equipamentos Móveis;Sim
Trajeto sem afastamento;Transmissão;Acima de 10 anos;Domingo;13;7;2025;06:00 - 07:00;"Queda de motocicleta no trajeto da residência para o local de trabalho. Havia óleo na pista e a motocicleta tombou após uma curva causando escoriações na perna.
";SC;;;;;Veículo;Médio;10;Médio;8 - Veículos e Equipamentos Móveis;Não
Quase Acidente;Transmissão;Até 6 meses;Sábado;9;8;2025;10:00 - 11:00;Caminhonete escorregou e caiu em uma valeta, ao tentar acessar a frente  de trabalho das obras das LT, das variantes de Angelina.;SC;NA ;NA;Não;NA;NA;;2;Crítico;8 - Veículos e Equipamentos Móveis;Sim
Típico sem afastamento;Transmissão;Acima de 10 anos;Terça - feira;23;9;2025;13:00 - 14:00;Durante organização e limpeza de ferramentas de trabalho, uma barra guia (sabre) de motosserra caiu da prateleira, batendo contra a testa do colaborador, vindo a causar um corte.;RS;NA ;NA;Não;NA;;Baixo;11;Médio;2 - Percepção de Risco;Não
Típico sem afastamento;CSC;Até 6 meses;Sexta-feira;5;9;2025;10:00 - 11:00;Durante a ronda do vigilante o celular corporativo que estava no bolso da farda explodiu. ;DF;0;0;Sim;0;Líquido, NIC;Baixo;16;Baixo;Outros;Não
Típico sem afastamento;Transmissão;Acima de 10 anos;Quarta-feira;3;9;2025;11:00 - 12:00;: Durante o deslocamento a pé para realizar descarte de resíduos contaminados o colaborador torceu o tornozelo esquerdo ao pisar num desnível de 3cm do ralo do piso.;MT;0;0;Sim;2;;Baixo;14;Baixo;2 - Percepção de Risco;Não
Quase Acidente;Transmissão;Acima de 10 anos;Terça-feira;23;9;2025;09:00 - 10:00;Durante o acionamento da motobomba a diesel da casa de bombas, utilizada para o esvaziamento das cisternas, uma das baterias de 12 VCC apresentou falha, ocasionando o rompimento da tampa e consequentemente respingos de eletrólito na calça na calça do colaborador.;PA;0;0;Não;0;;;11;Médio;2 - Percepção de Risco;Não
Quase Acidente;Expansão;6 meses a 1 ano;Quarta - feira;3;9;2025;09:00 - 10:00;O colaborador M. S. R., da empresa Pampulha, conduzia o veículo na BR 110, da SE Olindina, sentido Cidade de Olindina, para buscar água potável, quando foi surpreendido por um veículo da comunidade que colidiu contra sua traseira, lado esquerdo. Causando apenas danos materiais Leves.;BA;-;-;Não;-;Carro - Colisão ;NA;11;Médio;8 - Veículos e Equipamentos Móveis;Não
Quase Acidente;Expansão;6 meses a 1 ano;Sexta-feira;24;10;2025;13:00 - 14:00;O colaborador ao manobrar a retroescavadeira no bay de conexão 138kV da SE, acabou colidindo com pilar de concreto do para-raios, danificando a estrutura.;MG;-;-;Não;-;Transporte manual de carga;NA;15;Baixo;8 - Veículos e Equipamentos Móveis;Não
Quase Acidente;Expansão - Proj. Estrat.;6 meses a 1 ano;Segunda-feira;3;11;2025;11:00 - 12:00;"Durante atividade de supressão vegetal na área da torre 219/1, ao se deslocar executando a limpeza da área foi surpreendido por um ataque de abelhas onde sofreu uma picada nós ""lábios"",  de imediato comunicou para a equipe evacuar a área.";MG;-;-;Não;-;Animal;Baixo;15;Baixo;2 - Percepção de Risco;Não
Típico sem afastamento;Transmissão;Acima de 10 anos;Terça-feira;25;11;2025;10:00 - 11:00;Relato da Ocorrência: Durante o deslocamento entre Rio Branco e Porto Velho com uma caminhonete, o colaborador perdeu o controle da direção ao desviar de uma carreta que o fechou durante uma ultrapassagem, causando consequentemente queda em ribanceira na lateral da rodovia.;AC;0;0;Não;0;;Baixo;4;Alto;8 - Veículos e Equipamentos Móveis;Sim
Quase Acidente;Geração - Hidráulica;6 meses a 1 ano;Quinta - feira;13;11;2025;11:00 - 12:00;Durante a retirada dos cabos do GGE, que está sendo desmobilizado, houve o corte de um cabo que alimenta o quadro das bombas de águas de chuva (QB4). Durante fiscalização da atividade foi percebido o corte indevido e foi iniciada tratativa para sanar a condição de risco. ;SE;;;;;Outros;;11;Médio;4  - Eletricidade;Não
Quase Acidente;CSC;Até 6 meses;Sexta - feira;28;11;2025;15:00 - 16:00; Durante a realização de uma perfuração da parede no condolente para montagem da infraestrutura do sistema de CFTV na lateral do Galpão 06, com auxílio da PEMT e utilizando uma parafusadeira equipada com broca para metal. Em determinado momento, a ferramenta rotativa deslizou lateralmente, vindo a atingir a mão esquerda do colaborador terceiro, ocasionando escoriações na região superior da mão;PE;;;;;Golpeado por (atingido por objeto em movimento);;11;Médio;2 - Percepção de Risco;Não
Típico com afastamento;Transmissão;Acima de 10 anos;Sábado;7;3;2020;09:00 - 10:00;Curto circuito durante a conexão dos fusíveis de alimentação do Filtro Prensa ;SC;6;0;Não;0;Queimadura;Médio;13;Médio;4 - Eletricidade;Não
Típico sem afastamento;Transmissão;Acima de 10 anos;Segunda - feira;5;10;2020;15:00 - 16:00;Acidente automobilístico durante o trabalho.;ES;0;0;Não;0;Carro - Colisão ;Baixo;24;Baixo;11 - Não se Aplica;Não
Típico com afastamento;Transmissão;Acima de 10 anos;Segunda - feira;11;1;2021;14:00 - 15:00;Choque elétrico ao socorrer colega que teve contato acidental com o polo da fase B do disjuntor DJ122, durante a manutenção corretiva em cubículo de 13,8 kV ;PR;3;0;Não;0;Eletricidade;Médio;13;Médio;4 - Eletricidade;Não
Típico com afastamento;Transmissão;Acima de 10 anos;Terça- feira;19;10;2021;08:00 - 09:00;Escorregão em escada de alvenaria durante descida provocando contusão muscular lombar;DF;3;0;Não;3;Escada - Queda;Baixo;20;Baixo;11 - Não se Aplica;Não
Típico sem afastamento;Geração - Térmica;Acima de 10 anos;Sexta-feira;25;6;2021;03:00 - 04:00;Formação de arco elétrico durante manobra no trabalho.;RJ;0;0;Não;0;Eletricidade;Baixo;22;Baixo;11 - Não se Aplica;Não
Doença Ocupacional;Geração - Térmica;Acima de 10 anos;Terça- feira;4;10;2021;08:00 - 09:00;Perda dimiuição audição;RS;0;0;Não;0;Outros;Médio;13;Médio;8 - Veículos e Equipamentos Móveis;Não
Típico sem afastamento;Transmissão;Acima de 10 anos;Quarta - feira;27;10;2021;16:00 - 17:00;Queda da própria altura em terreno escorregadio pela chuva.;SP;0;0;Não;0;Queda mesmo nível;Baixo;24;Baixo;11 - Não se Aplica;Não
Trajeto sem afastamento;Transmissão;15 a 20 anos;Sexta-feira;19;11;2021;18:00 - 19:00 ;Contusão na perna devido à queda em canaleta externa na SE Bongi ao sair do trabalho.;PE;0;0;Não;;Queda com diferença de nível;Médio;9;Médio;8 - Veículos e Equipamentos Móveis;Não
Típico com afastamento;Transmissão;6 meses a 1 ano;Sábado;30;1;2021;14:00 - 15:00;Choque elétrico ao desequilibrar e encostar a mão em ponto energizado do AT4;SP;10;0;Não;10;Eletricidade;Médio;9;Médio;11 - Não se Aplica;Não
Típico com afastamento;Transmissão;Acima de 10 anos;Segunda - feira;5;12;2022;15:00 - 16:00;Tombamento de veículo da empresa durante deslocamento à trabalho;MG;14;0;Não;14;Carro - Capotamento;Médio;13;Médio;11 - Não se Aplica;Não
Típico com afastamento;Adm;;Quarta - feira;6;7;2022;08:00 - 09:00;Corte na cabeça devido a impacto em objeto parado.;BA;1;0;Não;;Golpeado por (atingido por objeto em movimento);Baixo;18;Baixo;8 - Veículos e Equipamentos Móveis;Não
Típico sem afastamento;Transmissão;Acima de 10 anos;Quarta - feira;6;4;2022;11:00 - 12:00;Torção do pé direito, no dia 06/04/2022, durante trabalho de inspeção a campo no trecho da LT AN/RB. ;RO;;0;Não;0;Escorregou/Desequilibrou;Baixo;18;Baixo;2 - Percepção de Risco;Não
Típico com afastamento;Transmissão;Acima de 10 anos;Sexta-feira;21;10;2022;10:00 - 11:00;Durante caminhada o empregado sofreu um escorregão e teve traumatismos superficiais múltiplos do tornozelo e do pé;AM;5;0;Não;0;Escorregou/Desequilibrou;Baixo;14;Baixo;2 - Percepção de Risco;Não
Típico sem afastamento;Adm;15 a 20 anos;Terça- feira;16;8;2022;07:00 - 08:00;Queda no mesmo nível em ambiente administrativo.;PE;0;0;Não;;Queda mesmo nível;Baixo;18;Baixo;8 - Veículos e Equipamentos Móveis;Não
Trajeto com afastamento;Transmissão;Acima de 10 anos;Quarta - feira;30;3;2022;17:00 - 18:00;Acidente de trajeto com colisão entre sua bicicleta e ônibus;RJ;2;0;Não;2;Carro - Colisão ;Baixo;13;Médio;11 - Não se Aplica;Não
Típico com afastamento;Adm;10 a 15 anos;Terça- feira;3;5;2022;10:00 - 11:00;Entorse no pé ao se deslocar de um prédio para outro.;BA;10;0;Não;;Queda mesmo nível;Baixo;23;Baixo;2 - Percepção de Risco;Não
Típico com afastamento;Adm;1 a 3 anos;Terça- feira;20;6;2023;10:00 - 11:00;Queda da escada durante limpeza de tanque de ar comprimido;MG;2;0;Não;2;Escada - Queda;Médio;10;Médio;11 - Não se Aplica;Não
Quase Acidente;Adm;6 meses a 1 ano;Quarta - feira;29;11;2023;20:00 - 21:00 ;Em deslocamento para Franca/SP, repentinamente um cavalo entrou na via e colidiu frontalmente com o veículo.;MG;N/A;N/A;Não;N/A;;Baixo;14;Baixo;11 - Não se Aplica;Não
Típico sem afastamento;Transmissão;Acima de 10 anos;Segunda - feira;12;6;2023;14:00 - 15:00;Contusão no joelho direito ao cair em desnível no trabalho;RJ;0;0;Não;0;Queda com diferença de nível;Baixo;15;Baixo;11 - Não se Aplica;Não
Quase Acidente;Geração - Térmica;Acima de 10 anos;Sexta-feira;15;9;2023;10:00 - 11:00;"Por volta das 9h20, o operador informou haver incidente durante o manuseio do produto Soda Cáustica (produto já estava diluído). O fato ocorreu no momento da realização da atividade de retirada da amostra do referido produto para realizar a análise da densidade (parâmetro final) do produto. Conforme seu relato, o operador que estava realizando a atividade em conjunto com ele, encontrou dificuldade ao tentar abrir a válvula, sendo acionada de forma repentina e liberando o produto que fez com que a mangueira de retirada da amostra batesse de encontro a boca do becker, respingando produto em seu antebraço.
O operador confirmou que estava fazendo uso da luva nitrílica e da jaqueta FR.
O operador foi encaminhado ao ambulatório aos cuidados da Téc. de Enfermagem, que realizou os procedimentos necessários, não havendo necessidade de encaminhar para atendimento médico externo. Não houve lesão aparente no local atingido.  ";AM;;0;Não;0;Produto ou Substância Química;Baixo;8;Alto;10 - Produtos Químicos Perigosos;Sim
Quase Acidente;Transmissão;10 a 15 anos;Terça- feira;8;8;2023;07:00 - 08:00;Parte de concreto de uma tampa de canaleta de passagem de cabos caiu sobre o pé do empregado que nada sofreu, por estar usando botina de segurança.;BA;;;;;Golpeado por (atingido por objeto em movimento);Baixo;11;Médio;2 - Percepção de Risco;Não
Trajeto com afastamento;Adm;Acima de 10 anos;Sexta-feira;21;7;2023;08:00 - 09:00;Queda de motocicleta, após abalroamento por outro veiculo.;RJ;10;0;Não;0;Moto - Queda;Médio;13;Médio;11 - Não se Aplica;Não
Quase Acidente;Geração - Hidráulica;Acima de 10 anos;Quinta - feira;7;12;2023;07:00 - 08:00;Durante deslocamento par a SE Itamarè/ São José do Cerrito ?SC  velocidade aproximada de 40km/h aproximando de uma curva avistou um veiculo e realizou manobra para desviar a estrada estava embarrada e o veiculo obedeceu parcialmente colidindo com a van.;SC;N/A;;;;Carro - Colisão ;;13;Médio;8 - Veículos e Equipamentos Móveis;Não
Trajeto sem afastamento;Adm;15 a 20 anos;Quarta - feira;22;3;2023;08:00 - 09:00;Empregado caiu de sua motocicleta quando se dirigia para a Eletrobras Chesf.;PI;0;0;Não;;Moto - Queda;Baixo;5;Alto;8 - Veículos e Equipamentos Móveis;Sim
Quase Acidente;Transmissão;1 a 3 anos;Domingo;19;11;2023;15:00 - 16:00;Retirada de aterramento temporário em desacordo ao procedimento IM-MN-LT-M.037. Para execução da atividade de manutenção com substituição de cadeias de isoladores da LT 05V9/TSD-TGD, estrutura 2/3, nas fases A e B, foram conectados dois aterramentos temporários por fase entre a torre e os cabos condutores. Na fase C que não teria troca de isoladores, foi instalado 1(um) aterramento temporário. Após a conclusão das substituições das cadeias de isoladores, foi iniciada a etapa de retirada dos aterramentos da LT para entregar a mesma para energização pela operação. Foram retirados os aterramentos das fases B e C, sem nenhum incidente. A atividade era realizada por dois eletricistas que estavam na estrutura, um com o bastão para a desconexão do lado linha e outro com a finalidade de recolhimento do cabo de aterramento e desconexão do lado torre. Na última etapa da atividade de retirada do aterramento, na fase A, onde havia dois cabos de aterramento, o eletricista que estava com bastão desconectou um ponto do lado linha. O outro eletricista recolheu o cabo e pediu ajuda para o colega que estava com o bastão para desconectar a extremidade que estava presa na torre desse mesmo cabo, porém ele retirou a garra na torre do outro cabo, fazendo um desaterramento cruzado da LT. Neste momento o eletricista estava com a garra na mão, com a percepção de indução, soltou a varra e o cabo. Não houve necessidade de atendimento médico, afastamento e não houve sequela envolvendo os membros da equipe. Existia fiscalização da Eletrobras Chesf (técnica e de segurança do trabalho) e supervisão por parte da equipe terceirizada.;PI;;0;Não;0;Eletricidade;Baixo;11;Médio;4 - Eletricidade;Não
Típico com afastamento;Geração - Hidráulica;6 meses a 1 ano;Quarta - feira;14;9;2023;15:00 - 16:00;Durante retirada do motor elétrico da motobomba AF do Regulador de Velocidade da Unidade Geradora 02, duas talhas estavam sendo usadas, sendo que uma delas servia para deslocar verticalmente o motor e a outra horizontalmente a fim de descer o equipamento até o piso da cota 6,20. Durante o deslocamento horizontal, de acordo com relatos, o colaborador estava com a mão posicionada na parte inferior da talha. Durante o tracionamento utilizando o referido equipamento, houve o deslizamento da corrente atingindo o dedo indicador da mão esquerda do colaborador e provocando a lesão.;PA;14;0;Não;0;Outros;Médio;7;Alto;11 - Não se Aplica;Sim
Típico sem afastamento;Expansão;Acima de 10 anos;Quinta - feira;12;1;2023;16:00 - 17:00;Contusão nas mãos, após rompimento de corda;MG;0;0;Não;0;Apanhado em (agarrado, pendurado);Baixo;15;Baixo;11 - Não se Aplica;Não
Típico sem afastamento;CSC;1 a 3 anos;Quinta - feira;8;2;2024;15:00 - 16:00;Durante o percurso de volta do banheiro para as suas atividades e ao passar por uma área de grama, pisou em um pedaço de madeira com pregos expostos  e perfurou  o pé direito.;PA;0;0;Não;0;Atingido por (pontos agudos ou cortantes);Baixo;11;Médio;2 - Percepção de Risco;Não
Típico sem afastamento;Geração - Hidráulica;10 a 15 anos;Terça- feira;3;9;2024;14:00 - 15:00;Ao se deslocar, o colaborador escorregou em resíduo de óleo e chocou sua canela contra um material de metal, provocando um corte na pele;MG;N/A;N/A;Não;N/A;Golpeado contra (correndo em direção, tropeçando em);Baixo;14;Baixo;2 - Percepção de Risco;Não
Desvio Crítico;CSC;Até 6 meses;Sexta-feira;20;9;2024;07:00 - 08:00;Veículo (SGN9J64) que atende a diretoria da Eletronorte, transitando em velocidade incompatível e na contramão dentro do estacionamento do edifício Portinari.;DF;N/A;N/A;;;;Baixo;15;Baixo;2 - Percepção de Risco;Não
Quase Acidente;Transmissão;;Quinta - feira;21;11;2024;10:00 - 11:00;Equipe terceirizada do contrato de Reisolamento estava em deslocamento com caminhão 3/4 F4000, da cidade de Santo Antônio de Jesus à cidade Ubatã/BA, na rodovia BR 101 quando houve um dano repentino (estouro) no pneu dianteiro esquerdo, logo o condutor realizou a parada do veículo no acostamento.;BA;;;;;Outros;;11;Médio;Outros;Não
Típico com afastamento;Geração - Hidráulica;6 meses a 1 ano;Segunda - feira;2;12;2024;09:00 - 10:00;Ao descer do caminhão bombeiro, pisou em uma pequena rocha, resultando na torção do tornozelo direito;GO;4;0;Não;;Golpeado contra (correndo em direção, tropeçando em);Médio;11;Médio;2 - Percepção de Risco;Não
Quase Acidente;Transmissão;Acima de 10 anos;Quinta - feira;25;3;2024;20:00 - 21:00 ;Durante deslocamento no trecho entre Nova Laranjeiras e Quedas do Iguaçu, colaborador atropelou um cachorro que acabou invadindo seu lado da pista de rodagem. Colaborador não sofreu nenhuma lesão.;PR;N/A;Não;Não;N/A;;;11;Médio;2 - Percepção de Risco;Não
Típico com afastamento;Transmissão;Acima de 10 anos;Segunda - feira;21;10;2024;11:00 - 12:00;A equipe, formada por um O&M e dois mantenedores, estavam executando manutenção preventiva no disjuntor 12T3, mas acessaram, por engano, o disjuntor 12D1, que estava energizado, ocasionando um arco elétrico que atingiu os três.;PE;71;Não;Não;0;Eletricidade;Alto;7;Alto;4 - Eletricidade;Sim
Típico com afastamento;Geração - Hidráulica;3 a 6 anos;Quarta - feira;31;7;2024;15:00 - 16:00;A equipe de empregados terceirizados estavam realizando uma atividade de troca de tubulação do esgotamento da caixa espiral 01G4 USD. Simultaneamente estava ocorrendo uma atividade de desobstrução do esgotamento da caixa espiral da 01G6. Durante essa desobstrução houve um volume inesperado de água que causou um susto na equipe da 01G4, que reagiu saindo rapidamente do local e durante essa saída um dos empregados veio a tropeçar nos cabos do equipamento que estava transportando (máquina de solda e esmerilhadeira). ;BA;3;0;Não;0;Queda mesmo nível;Médio;11;Médio;7 - Bloqueio e Proteção;Não
Típico com afastamento;CSC;1 a 3 anos;Segunda - feira;2;12;2024;09:00 - 10:00;A empregada terceirizada seguia em ronda de rotina com uso da motocicleta, realizando atividade em dupla com outro vigilante, quando a condutora percebeu um estalo no pneu traseiro, que imediatamente travou, vindo a derrapar e cair com a moto em um desnível de aproximadamente 2m, em um terreno bastante pedregoso.;BA;3;;;;Moto - Queda;Médio;5;Alto;8 - Veículos e Equipamentos Móveis;Sim
Quase Acidente;CSC;1 a 3 anos;Quarta - feira;18;12;2024;10:00 - 11:00;Queda de mesmo nível, ao realizar limpeza no piso 03 da galeria de cabos da máquina UG-04;SP;N/A;N/A;;N/A;;;14;Baixo;2 - Percepção de Risco;Não
Quase Acidente;Transmissão;3 a 6 anos;Sábado;20;7;2024;15:00 - 16:00;Durante a atividade de reconexão dos pulos que interligam as chaves 34T2-1 a 34T2-6, desligadas e isoladas, o braço articulado da PEMT 1188128 da Mills, modelo 800AJ, desceu lentamente sem o comando do operador. Vale ressaltar que, no dia anterior, foi realizado o check list de inspeção e operação da PEMT com resultados satisfatórios e emissão de laudo técnico, com participação de técnico da Mills. ;BA;;;;;Outros;;15;Baixo;3 - Trabalho em Altura;Não
Típico com afastamento;Transmissão;1 a 3 anos;Sábado;12;10;2024;08:00 - 09:00;No início das atividades ao abrir o portão de acesso à área restrita da SE Pituaçu, o funcionário sentiu dores na região lombar.;BA;3;Não;Não;0;Outros;Médio;11;Médio;Outros;Não
